t_day,t_month,t_year,Genre,views,likes,dislikes,comment_count
3,3,3,Film & Animation,23393,226,29,75
7,7,7,Science & Technology,322376,12291,261,2955
12,12,12,People & Blogs,633226,5506,310,696
5,5,5,People & Blogs,207308,17429,630,3655
1,1,1,Comedy,708372,58841,1459,5509
7,7,7,Film & Animation,1732015,80125,2041,14909
12,12,12,Entertainment,684913,17268,589,1950
1,1,1,People & Blogs,2259,0,0,0
11,11,11,Film & Animation,293567,9744,194,941
1,1,1,Science & Technology,374333,11580,700,1553
5,5,5,Shows,72607,1130,113,268
11,11,11,News & Politics,470348,7972,295,3414
2,2,2,Science & Technology,9747,447,14,81
1,1,1,Science & Technology,1825705,77531,4156,12025
4,4,4,News & Politics,1896,20,1,8
6,6,6,Pets & Animals,173330,3792,422,699
6,6,6,Entertainment,40840,1435,86,824
5,5,5,Education,277184,11651,420,1063
19,19,19,Entertainment,1009538,14059,663,1157
16,16,16,Science & Technology,874634,24300,3210,4976
7,7,7,Entertainment,1430059,35537,4377,10255
5,5,5,Science & Technology,2431398,39960,5800,7917
7,7,7,Education,307494,8706,298,1226
7,7,7,Comedy,1629599,43060,3716,6358
22,22,22,Entertainment,6841622,494130,6966,51506
14,14,14,Film & Animation,3132527,231420,797,47382
20,20,20,Music,148689896,3094021,129502,242039
18,18,18,Music,4244395,245110,2384,17119
3,3,3,Music,1217931,59458,5035,4727
20,20,20,Music,2826942,140462,2264,7376
3,3,3,Entertainment,1016463,42679,1166,736
1,1,1,Comedy,2015271,156034,1161,5873
13,13,13,Entertainment,493836,1391,851,438
2,2,2,News & Politics,5760,74,147,147
6,6,6,Sports,36929,0,0,0
1,1,1,Entertainment,102804,4635,82,355
2,2,2,Entertainment,1339443,23629,943,2181
7,7,7,Entertainment,645247,20247,278,987
4,4,4,People & Blogs,325386,6688,105,420
13,13,13,People & Blogs,820885,21819,463,700
3,3,3,Sports,745,1,0,0
3,3,3,People & Blogs,58278,2182,35,107
4,4,4,Entertainment,57465,456,29,176
7,7,7,Entertainment,758052,8174,831,3337
1,1,1,Entertainment,2193778,59564,596,2926
11,11,11,People & Blogs,820955,21650,301,1231
2,2,2,Gaming,924008,18188,1642,4599
10,10,10,Science & Technology,2547146,99674,2275,9384
3,3,3,Science & Technology,637400,21551,895,1965
1,1,1,Entertainment,3597,59,8,13
1,1,1,Entertainment,4232,49,4,4
4,4,4,People & Blogs,29860,1958,25,94
2,2,2,Science & Technology,12461,1614,6,215
8,8,8,Entertainment,390379,9839,263,736
7,7,7,Science & Technology,179374,1116,163,174
5,5,5,Pets & Animals,688114,17572,439,3181
6,6,6,Education,163727,2740,155,445
10,10,10,Comedy,522580,7950,218,927
5,5,5,Entertainment,839839,15386,682,706
8,8,8,News & Politics,10661,178,26,196
5,5,5,Comedy,973008,47051,837,24119
5,5,5,Entertainment,76956,2269,108,748
3,3,3,Comedy,1887277,32868,854,1662
13,13,13,Entertainment,1025505,36127,1160,5811
7,7,7,Entertainment,559294,20988,629,3146
6,6,6,Comedy,8408515,331934,3817,12519
6,6,6,Music,3053922,95363,1852,3483
11,11,11,Music,1245242,64810,344,3938
6,6,6,Entertainment,515428,5514,529,1741
20,20,20,Music,2611836,90500,12360,15746
4,4,4,People & Blogs,42034,444,226,669
6,6,6,Howto & Style,1143472,52424,564,6219
7,7,7,Howto & Style,1649348,75585,1603,6586
2,2,2,Entertainment,2665,11,0,0
5,5,5,Sports,72200,3694,27,136
2,2,2,Pets & Animals,1032668,9130,331,780
1,1,1,Entertainment,1073134,47793,1886,5358
5,5,5,Howto & Style,1333624,74168,2105,11124
7,7,7,People & Blogs,139884,8909,164,473
6,6,6,Film & Animation,5186780,510,1774,665
8,8,8,Science & Technology,930513,17044,1136,1715
3,3,3,Howto & Style,838561,40865,689,2810
1,1,1,Sports,183106,2648,59,244
3,3,3,Howto & Style,1528291,159801,723,83298
1,1,1,Entertainment,60546,5072,79,919
6,6,6,Howto & Style,1099145,56147,1434,6657
4,4,4,Travel & Events,478211,13173,231,1962
12,12,12,Entertainment,1327815,32895,1240,2020
14,14,14,Howto & Style,2334865,152228,1763,10052
